subject,session,group,stimtype,letter_ACC,letter_RT,probe_ACC,probe_RT
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,,,,,
5,1,Experimental,-1,1,2591,1,1465
5,1,Experimental,8,1,1212,1,1474
5,1,Experimental,8,1,1264,1,998
5,1,Experimental,-1,1,1424,1,960
5,1,Experimental,8,1,1784,1,797
5,1,Experimental,8,1,1038,1,1227
5,1,Experimental,-1,1,1167,1,872
5,1,Experimental,2,1,1087,1,971
5,1,Experimental,-1,1,1044,1,801
5,1,Experimental,4,1,1066,1,983
5,1,Experimental,8,1,1697,1,969
5,1,Experimental,-1,1,1286,1,907
5,1,Experimental,2,1,1193,0,849
5,1,Experimental,2,1,925,1,926
5,1,Experimental,-1,1,1488,1,671
5,1,Experimental,6,1,1072,1,651
5,1,Experimental,-1,1,1818,1,606
5,1,Experimental,2,1,1003,1,538
5,1,Experimental,2,1,1120,0,554
5,1,Experimental,-1,1,1223,1,510
5,1,Experimental,6,1,1230,1,645
5,1,Experimental,-1,1,1368,1,602
5,1,Experimental,-1,1,1375,1,481
5,1,Experimental,-1,1,1323,1,527
5,1,Experimental,4,1,992,1,831
5,1,Experimental,-1,1,1349,1,680
5,1,Experimental,-1,1,1229,1,659
5,1,Experimental,4,1,1075,1,767
5,1,Experimental,6,1,1023,1,684
5,1,Experimental,-1,1,1392,1,674
5,1,Experimental,2,1,1112,1,674
5,1,Experimental,4,1,808,1,508
5,1,Experimental,-1,1,1648,1,505
5,1,Experimental,6,1,929,1,594
5,1,Experimental,-1,1,1216,1,456
5,1,Experimental,-1,1,1304,1,588
5,1,Experimental,-1,1,1341,1,1200
5,1,Experimental,6,1,1313,1,1061
5,1,Experimental,-1,1,1247,1,854
5,1,Experimental,8,1,1667,1,667
5,1,Experimental,-1,1,1334,1,537
5,1,Experimental,-1,1,1223,1,702
5,1,Experimental,-1,1,1590,1,577
5,1,Experimental,4,1,1382,0,600
5,1,Experimental,-1,1,1415,1,553
5,1,Experimental,-1,1,1651,1,508
5,1,Experimental,6,1,1264,1,774
5,1,Experimental,4,1,1054,1,603
5,1,Experimental,-1,1,1143,0,592
5,1,Experimental,8,1,1309,1,481
5,1,Experimental,-1,1,1348,0,359
5,1,Experimental,6,1,1195,1,467
5,1,Experimental,-1,1,1209,1,464
5,1,Experimental,8,1,1266,1,584
5,1,Experimental,-1,1,1454,0,701
5,1,Experimental,-1,0,3038,1,2712
5,1,Experimental,8,1,1615,1,857
5,1,Experimental,6,1,1109,1,800
5,1,Experimental,4,1,1153,1,1018
5,1,Experimental,-1,1,1223,1,1230
5,1,Experimental,4,1,1122,1,1324
5,1,Experimental,8,1,1318,1,778
5,1,Experimental,-1,1,1246,1,1108
5,1,Experimental,-1,1,1348,1,1111
5,1,Experimental,2,1,1274,0,896
5,1,Experimental,2,1,854,1,937
5,1,Experimental,-1,1,1281,1,871
5,1,Experimental,-1,1,1262,1,868
5,1,Experimental,2,1,850,1,1029
5,1,Experimental,6,1,887,1,921
5,1,Experimental,-1,1,1386,1,987
5,1,Experimental,-1,1,1203,1,1099
5,1,Experimental,4,1,982,1,901
5,1,Experimental,4,1,1127,1,897
5,1,Experimental,-1,1,1191,1,911
5,1,Experimental,-1,1,1141,0,799
5,1,Experimental,4,1,869,1,840
5,1,Experimental,-1,1,1183,1,920
5,1,Experimental,2,1,809,1,909
5,1,Experimental,8,1,911,1,624
5,1,Experimental,4,1,833,1,853
5,1,Experimental,6,1,825,1,765
5,1,Experimental,6,1,859,1,670
5,1,Experimental,-1,1,1069,1,826
5,1,Experimental,8,1,1817,1,957
5,1,Experimental,-1,1,1046,1,1123
5,1,Experimental,-1,1,1114,1,1029
5,1,Experimental,-1,1,1060,1,961
5,1,Experimental,-1,1,1487,1,797
5,1,Experimental,-1,1,1043,1,704
5,1,Experimental,2,1,1202,0,842
5,1,Experimental,6,1,992,1,2031
5,1,Experimental,-1,1,966,1,726
5,1,Experimental,-1,1,941,1,541
5,1,Experimental,-1,1,1231,1,886
5,1,Experimental,2,1,1037,0,618
5,1,Experimental,6,1,1426,0,706
5,1,Experimental,-1,1,1570,1,558
5,1,Experimental,6,1,1170,1,747
5,1,Experimental,8,1,1102,1,649
5,1,Experimental,4,1,1013,1,579
5,1,Experimental,6,1,1386,0,652
5,1,Experimental,-1,1,982,1,597
5,1,Experimental,4,1,906,1,619
5,1,Experimental,6,1,953,1,586
5,1,Experimental,-1,1,1189,1,510
5,1,Experimental,-1,1,611,1,447
5,1,Experimental,2,1,792,1,429
5,1,Experimental,-1,1,1918,1,462
5,1,Experimental,-1,1,1202,0,539
5,1,Experimental,-1,1,866,1,405
5,1,Experimental,4,1,942,1,622
5,1,Experimental,2,1,744,1,511
5,1,Experimental,4,1,1213,1,885
5,1,Experimental,2,1,1054,1,843
5,1,Experimental,6,1,688,1,536
5,1,Experimental,-1,1,1375,1,449
5,1,Experimental,-1,1,1047,1,612
5,1,Experimental,8,1,1171,1,444
5,1,Experimental,-1,1,1006,1,444
