subject,session,Condition,ACC,RT,stimtype
5,Pre,Experimental,1,1072,neu
5,Pre,Experimental,1,453,con
5,Pre,Experimental,1,631,neu
5,Pre,Experimental,1,531,neu
5,Pre,Experimental,1,478,con
5,Pre,Experimental,,0,null
5,Pre,Experimental,0,930,inc
5,Pre,Experimental,1,436,neu
5,Pre,Experimental,1,538,neu
5,Pre,Experimental,1,503,neu
5,Pre,Experimental,1,451,con
5,Pre,Experimental,0,854,inc
5,Pre,Experimental,1,653,neu
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,703,neu
5,Pre,Experimental,1,1298,inc
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,727,con
5,Pre,Experimental,1,944,inc
5,Pre,Experimental,1,641,con
5,Pre,Experimental,1,565,neu
5,Pre,Experimental,1,785,inc
5,Pre,Experimental,1,675,inc
5,Pre,Experimental,1,605,con
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,719,inc
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,703,inc
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,664,inc
5,Pre,Experimental,1,539,con
5,Pre,Experimental,1,514,neu
5,Pre,Experimental,1,507,neu
5,Pre,Experimental,1,673,con
5,Pre,Experimental,1,488,neu
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,682,inc
5,Pre,Experimental,1,517,neu
5,Pre,Experimental,0,413,inc
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,642,neu
5,Pre,Experimental,1,810,inc
5,Pre,Experimental,1,563,con
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,644,inc
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,633,con
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,423,neu
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,398,neu
5,Pre,Experimental,1,683,inc
5,Pre,Experimental,1,671,neu
5,Pre,Experimental,1,484,con
5,Pre,Experimental,1,588,inc
5,Pre,Experimental,1,621,inc
5,Pre,Experimental,1,502,con
5,Pre,Experimental,1,521,neu
5,Pre,Experimental,1,573,neu
5,Pre,Experimental,1,651,inc
5,Pre,Experimental,1,631,neu
5,Pre,Experimental,1,690,inc
5,Pre,Experimental,1,554,con
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,676,con
5,Pre,Experimental,1,696,neu
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,665,con
5,Pre,Experimental,1,523,neu
5,Pre,Experimental,,0,null
5,Pre,Experimental,1,618,con
5,Pre,Experimental,1,1058,inc
5,Pre,Experimental,1,794,con
5,Pre,Experimental,,0,null
