subject,session,group,stimtype,ACC,RT
5,1,Experimental,,,
5,1,Experimental,,,
5,1,Experimental,,,
5,1,Experimental,,,
5,1,Experimental,,,
5,1,Experimental,,,
5,1,Experimental,,,
5,1,Experimental,,,
5,1,Experimental,four_nm,0,823
5,1,Experimental,four_nm,1,812
5,1,Experimental,four_m,1,1090
5,1,Experimental,four_nm,1,763
5,1,Experimental,four_nm,1,1235
5,1,Experimental,four_nm,1,871
5,1,Experimental,four_nm,1,1083
5,1,Experimental,four_m,1,1286
5,1,Experimental,four_m,0,1063
5,1,Experimental,four_m,0,851
5,1,Experimental,four_m,1,663
5,1,Experimental,four_m,1,803
5,1,Experimental,four_m,1,825
5,1,Experimental,four_m,1,1037
5,1,Experimental,four_m,0,809
5,1,Experimental,four_nm,1,1183
5,1,Experimental,four_m,1,966
5,1,Experimental,four_nm,1,1206
5,1,Experimental,four_nm,1,763
5,1,Experimental,four_nm,1,1251
5,1,Experimental,four_m,0,759
5,1,Experimental,four_m,1,447
5,1,Experimental,four_m,1,851
5,1,Experimental,four_m,1,678
5,1,Experimental,four_nm,1,881
5,1,Experimental,four_nm,1,868
5,1,Experimental,four_m,0,1192
5,1,Experimental,four_m,1,1262
5,1,Experimental,four_m,1,673
5,1,Experimental,four_m,1,524
5,1,Experimental,four_m,1,813
5,1,Experimental,four_nm,1,835
5,1,Experimental,four_nm,1,1079
5,1,Experimental,four_m,1,1153
5,1,Experimental,four_nm,1,1049
5,1,Experimental,four_nm,1,837
5,1,Experimental,four_nm,1,1322
5,1,Experimental,four_nm,0,1227
5,1,Experimental,four_m,1,655
5,1,Experimental,four_m,0,1195
5,1,Experimental,four_nm,1,1153
5,1,Experimental,four_m,0,809
5,1,Experimental,four_m,1,926
5,1,Experimental,four_nm,1,927
5,1,Experimental,four_m,1,880
5,1,Experimental,four_nm,1,867
5,1,Experimental,four_nm,1,823
5,1,Experimental,four_nm,1,955
5,1,Experimental,four_nm,0,1163
5,1,Experimental,four_nm,1,835
5,1,Experimental,four_m,1,1383
5,1,Experimental,four_nm,1,838
5,1,Experimental,four_nm,1,1081
5,1,Experimental,four_m,1,997
5,1,Experimental,four_m,1,819
5,1,Experimental,four_m,1,472
5,1,Experimental,four_nm,1,923
5,1,Experimental,four_m,1,651
5,1,Experimental,four_nm,1,1223
5,1,Experimental,four_nm,1,1372
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,,,
6,1,Control,four_m,1,797
6,1,Control,four_nm,1,1028
6,1,Control,four_m,1,769
6,1,Control,four_nm,1,1144
6,1,Control,four_nm,1,1648
6,1,Control,four_m,1,1092
6,1,Control,four_nm,1,1054
6,1,Control,four_m,1,1081
6,1,Control,four_m,1,1188
6,1,Control,four_nm,1,1178
6,1,Control,four_nm,0,0
6,1,Control,four_m,1,1415
6,1,Control,four_nm,1,1749
6,1,Control,four_nm,1,1204
6,1,Control,four_m,1,1034
6,1,Control,four_m,1,951
6,1,Control,four_nm,0,967
6,1,Control,four_m,1,1063
6,1,Control,four_nm,1,898
6,1,Control,four_nm,0,1077
6,1,Control,four_nm,1,1360
6,1,Control,four_m,1,1007
6,1,Control,four_m,0,0
6,1,Control,four_nm,1,1090
6,1,Control,four_nm,1,1708
6,1,Control,four_m,1,814
6,1,Control,four_nm,1,1124
6,1,Control,four_nm,1,877
6,1,Control,four_nm,1,1360
6,1,Control,four_nm,1,1103
6,1,Control,four_m,1,1017
6,1,Control,four_m,1,981
6,1,Control,four_m,1,1652
6,1,Control,four_m,1,824
6,1,Control,four_nm,0,1869
6,1,Control,four_m,1,904
6,1,Control,four_m,1,841
6,1,Control,four_m,1,1070
6,1,Control,four_m,1,809
6,1,Control,four_m,1,927
6,1,Control,four_nm,1,943
6,1,Control,four_nm,1,959
6,1,Control,four_m,1,751
6,1,Control,four_m,1,743
6,1,Control,four_nm,1,1343
6,1,Control,four_m,0,0
6,1,Control,four_m,0,1286
6,1,Control,four_nm,1,1512
6,1,Control,four_m,1,737
6,1,Control,four_nm,1,1337
6,1,Control,four_nm,1,921
6,1,Control,four_m,1,1834
6,1,Control,four_m,1,679
6,1,Control,four_nm,0,1042
6,1,Control,four_m,1,1150
6,1,Control,four_m,0,1623
6,1,Control,four_nm,1,1244
6,1,Control,four_nm,1,1199
6,1,Control,four_nm,1,997
6,1,Control,four_nm,1,931
6,2,Control,,,
6,2,Control,,,
6,2,Control,,,
6,2,Control,,,
6,2,Control,,,
6,2,Control,,,
6,2,Control,,,
6,2,Control,,,
6,2,Control,four_m,0,1250
6,2,Control,four_nm,1,902
6,2,Control,four_m,1,920
6,2,Control,four_nm,1,1753
6,2,Control,four_m,0,0
6,2,Control,four_nm,1,653
6,2,Control,four_m,1,985
6,2,Control,four_m,1,1384
6,2,Control,four_nm,1,1111
6,2,Control,four_m,1,1312
6,2,Control,four_m,1,1234
6,2,Control,four_m,1,1078
6,2,Control,four_nm,0,1377
6,2,Control,four_nm,1,896
6,2,Control,four_nm,1,850
6,2,Control,four_m,1,1159
6,2,Control,four_m,1,894
6,2,Control,four_m,1,1472
6,2,Control,four_nm,1,827
6,2,Control,four_nm,0,0
6,2,Control,four_nm,1,1318
6,2,Control,four_nm,1,918
6,2,Control,four_m,1,1127
6,2,Control,four_nm,0,0
6,2,Control,four_m,0,1094
6,2,Control,four_m,1,881
6,2,Control,four_m,1,691
6,2,Control,four_nm,1,717
6,2,Control,four_m,1,679
6,2,Control,four_m,1,578
6,2,Control,four_nm,1,770
6,2,Control,four_nm,1,553
6,2,Control,four_m,1,505
6,2,Control,four_m,1,553
6,2,Control,four_nm,1,729
6,2,Control,four_nm,0,578
6,2,Control,four_m,1,898
6,2,Control,four_nm,0,900
6,2,Control,four_nm,1,1046
6,2,Control,four_nm,1,1778
6,2,Control,four_m,1,497
6,2,Control,four_m,1,611
6,2,Control,four_nm,1,993
6,2,Control,four_m,1,687
6,2,Control,four_m,1,633
6,2,Control,four_nm,1,790
6,2,Control,four_nm,1,1533
6,2,Control,four_nm,1,694
6,2,Control,four_nm,1,944
6,2,Control,four_m,1,608
6,2,Control,four_m,0,0
6,2,Control,four_m,1,516
6,2,Control,four_nm,0,997
6,2,Control,four_m,1,964
6,2,Control,four_m,1,499
