subject,session,group,stimtype,ACC,RT
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,practice,,
5,1,Experimental,Incongruent,1,988
5,1,Experimental,Congruent,1,1008
5,1,Experimental,Congruent,1,963
5,1,Experimental,Incongruent,1,680
5,1,Experimental,Neutral,1,680
5,1,Experimental,Incongruent,1,1159
5,1,Experimental,Neutral,1,772
5,1,Experimental,Neutral,1,801
5,1,Experimental,Incongruent,1,844
5,1,Experimental,Congruent,1,662
5,1,Experimental,Incongruent,1,1143
5,1,Experimental,Neutral,1,692
5,1,Experimental,Congruent,1,580
5,1,Experimental,Congruent,1,985
5,1,Experimental,Congruent,1,1292
5,1,Experimental,Congruent,1,948
5,1,Experimental,Incongruent,1,777
5,1,Experimental,Neutral,1,774
5,1,Experimental,Neutral,1,946
5,1,Experimental,Neutral,1,712
5,1,Experimental,Congruent,1,951
5,1,Experimental,Congruent,1,1228
5,1,Experimental,Congruent,1,678
5,1,Experimental,Incongruent,1,823
5,1,Experimental,Neutral,1,865
5,1,Experimental,Congruent,1,954
5,1,Experimental,Congruent,1,798
5,1,Experimental,Congruent,1,1082
5,1,Experimental,Congruent,1,618
5,1,Experimental,Neutral,1,908
5,1,Experimental,Congruent,1,563
5,1,Experimental,Congruent,1,536
5,1,Experimental,Incongruent,1,926
5,1,Experimental,Congruent,1,852
5,1,Experimental,Neutral,1,541
5,1,Experimental,Incongruent,1,835
5,1,Experimental,Incongruent,1,749
5,1,Experimental,Incongruent,0,1530
5,1,Experimental,Incongruent,1,1016
5,1,Experimental,Congruent,1,539
5,1,Experimental,Congruent,1,497
5,1,Experimental,Incongruent,1,921
5,1,Experimental,Incongruent,1,927
5,1,Experimental,Congruent,1,869
5,1,Experimental,Neutral,1,750
5,1,Experimental,Congruent,1,779
5,1,Experimental,Congruent,0,792
5,1,Experimental,Neutral,1,867
5,1,Experimental,Neutral,1,651
5,1,Experimental,Incongruent,1,940
5,1,Experimental,Congruent,1,610
5,1,Experimental,Neutral,1,709
5,1,Experimental,Incongruent,1,916
5,1,Experimental,Incongruent,1,1083
5,1,Experimental,Neutral,1,699
5,1,Experimental,Neutral,1,939
5,1,Experimental,Congruent,1,753
5,1,Experimental,Neutral,1,654
5,1,Experimental,Incongruent,1,975
5,1,Experimental,Congruent,1,563
5,1,Experimental,Congruent,1,536
5,1,Experimental,Neutral,1,510
5,1,Experimental,Incongruent,1,1413
5,1,Experimental,Neutral,1,536
