subject,session,group,stimtype,ACC,RT
5,1,Experimental,ColorPractice,1,3094
5,1,Experimental,ColorPractice,1,1719
5,1,Experimental,ColorPractice,1,1114
5,1,Experimental,ColorPractice,0,1710
5,1,Experimental,SimColour,1,1086
5,1,Experimental,SimColour,0,1121
5,1,Experimental,SimColour,1,909
5,1,Experimental,SimColour,1,854
5,1,Experimental,SimColour,1,728
5,1,Experimental,SimColour,1,935
5,1,Experimental,SimColour,1,646
5,1,Experimental,SimColour,1,1289
5,1,Experimental,SimColour,1,835
5,1,Experimental,SimColour,0,993
5,1,Experimental,SimColour,1,999
5,1,Experimental,SimColour,1,705
5,1,Experimental,SimColour,1,582
5,1,Experimental,SimColour,0,1104
5,1,Experimental,SimColour,1,858
5,1,Experimental,SimColour,1,859
5,1,Experimental,SimColour,1,752
5,1,Experimental,SimColour,1,714
5,1,Experimental,SimColour,0,1288
5,1,Experimental,SimColour,1,700
5,1,Experimental,SimColour,1,1024
5,1,Experimental,SimColour,1,1009
5,1,Experimental,SimColour,1,788
5,1,Experimental,SimColour,1,898
5,1,Experimental,SimColour,1,941
5,1,Experimental,SimColour,1,617
5,1,Experimental,SimColour,1,1062
5,1,Experimental,SimColour,1,776
5,1,Experimental,SimColour,1,590
5,1,Experimental,SimColour,1,825
5,1,Experimental,SimColour,1,681
5,1,Experimental,SimColour,1,708
5,1,Experimental,SimColour,1,748
5,1,Experimental,SimColour,1,673
5,1,Experimental,SimColour,1,1066
5,1,Experimental,SimColour,1,675
5,1,Experimental,SimColour,1,1005
5,1,Experimental,SimColour,1,842
5,1,Experimental,SimColour,0,1280
5,1,Experimental,SimColour,1,930
5,1,Experimental,SimColour,1,693
5,1,Experimental,SimColour,0,892
5,1,Experimental,SimColour,1,1217
5,1,Experimental,SimColour,0,632
5,1,Experimental,SimColour,1,900
5,1,Experimental,SimColour,1,889
5,1,Experimental,SimColour,1,815
5,1,Experimental,SimColour,0,634
5,1,Experimental,SimColour,1,909
5,1,Experimental,SimColour,1,755
5,1,Experimental,SimColour,0,701
5,1,Experimental,SimColour,1,980
5,1,Experimental,SimColour,1,643
5,1,Experimental,SimColour,1,1298
5,1,Experimental,SimColour,1,858
5,1,Experimental,SimColour,0,754
5,1,Experimental,SimColour,1,448
5,1,Experimental,SimColour,1,760
5,1,Experimental,SimColour,1,577
5,1,Experimental,SimColour,1,790
5,1,Experimental,SimColour,0,609
5,1,Experimental,SimColour,1,1270
5,1,Experimental,SimColour,1,1025
5,1,Experimental,SimColour,1,850
5,1,Experimental,SimColour,1,733
5,1,Experimental,SimColour,1,970
5,1,Experimental,SimColour,0,820
5,1,Experimental,SimColour,1,825
5,1,Experimental,ShapePractice,1,1968
5,1,Experimental,ShapePractice,1,1377
5,1,Experimental,ShapePractice,1,1347
5,1,Experimental,ShapePractice,1,897
5,1,Experimental,SimShape,1,930
5,1,Experimental,SimShape,0,1193
5,1,Experimental,SimShape,1,1001
5,1,Experimental,SimShape,0,1275
5,1,Experimental,SimShape,0,1166
5,1,Experimental,SimShape,1,1263
5,1,Experimental,SimShape,1,1233
5,1,Experimental,SimShape,0,1205
5,1,Experimental,SimShape,1,1051
5,1,Experimental,SimShape,0,1144
5,1,Experimental,SimShape,0,1072
5,1,Experimental,SimShape,0,825
5,1,Experimental,SimShape,1,942
5,1,Experimental,SimShape,1,1088
5,1,Experimental,SimShape,0,1498
5,1,Experimental,SimShape,1,1383
5,1,Experimental,SimShape,0,999
5,1,Experimental,SimShape,0,1047
5,1,Experimental,SimShape,1,821
5,1,Experimental,SimShape,1,1007
5,1,Experimental,SimShape,1,887
5,1,Experimental,SimShape,0,1183
5,1,Experimental,SimShape,1,824
5,1,Experimental,SimShape,1,900
5,1,Experimental,SimShape,0,959
5,1,Experimental,SimShape,0,985
5,1,Experimental,SimShape,1,986
5,1,Experimental,SimShape,0,956
5,1,Experimental,SimShape,1,707
5,1,Experimental,SimShape,1,1219
5,1,Experimental,SimShape,0,1141
5,1,Experimental,SimShape,0,1187
5,1,Experimental,SimShape,1,1173
5,1,Experimental,SimShape,1,860
5,1,Experimental,SimShape,1,850
5,1,Experimental,SimShape,1,967
5,1,Experimental,SimShape,1,744
5,1,Experimental,SimShape,1,898
5,1,Experimental,SimShape,1,775
5,1,Experimental,SimShape,0,1171
5,1,Experimental,SimShape,0,687
5,1,Experimental,SimShape,1,739
5,1,Experimental,SimShape,1,901
5,1,Experimental,SimShape,1,1738
5,1,Experimental,SimShape,0,953
5,1,Experimental,SimShape,0,974
5,1,Experimental,SimShape,0,754
5,1,Experimental,SimShape,1,846
5,1,Experimental,SimShape,1,733
5,1,Experimental,SimShape,1,831
5,1,Experimental,SimShape,1,638
5,1,Experimental,SimShape,1,1316
5,1,Experimental,SimShape,0,3192
5,1,Experimental,SimShape,1,811
5,1,Experimental,SimShape,1,740
5,1,Experimental,SimShape,1,690
5,1,Experimental,SimShape,1,626
5,1,Experimental,SimShape,0,1082
5,1,Experimental,SimShape,1,779
5,1,Experimental,SimShape,1,1234
5,1,Experimental,SimShape,1,894
5,1,Experimental,SimShape,1,1065
5,1,Experimental,SimShape,0,1017
5,1,Experimental,SimShape,1,748
5,1,Experimental,SimShape,0,731
5,1,Experimental,SimShape,1,980
5,1,Experimental,SimShape,1,1153
5,1,Experimental,SimShape,0,1106
5,1,Experimental,PracticeBoth,0,1601
5,1,Experimental,PracticeBoth,1,1493
5,1,Experimental,PracticeBoth,1,830
5,1,Experimental,PracticeBoth,1,1230
5,1,Experimental,SimBoth,0,834
5,1,Experimental,SimBoth,0,1022
5,1,Experimental,SimBoth,1,853
5,1,Experimental,SimBoth,0,1604
5,1,Experimental,SimBoth,0,1346
5,1,Experimental,SimBoth,1,963
5,1,Experimental,SimBoth,1,954
5,1,Experimental,SimBoth,0,1075
5,1,Experimental,SimBoth,0,1126
5,1,Experimental,SimBoth,0,1128
5,1,Experimental,SimBoth,1,1793
5,1,Experimental,SimBoth,1,1186
5,1,Experimental,SimBoth,1,1077
5,1,Experimental,SimBoth,1,974
5,1,Experimental,SimBoth,1,637
5,1,Experimental,SimBoth,0,964
5,1,Experimental,SimBoth,1,956
5,1,Experimental,SimBoth,1,788
5,1,Experimental,SimBoth,1,1287
5,1,Experimental,SimBoth,1,749
5,1,Experimental,SimBoth,1,758
5,1,Experimental,SimBoth,1,715
5,1,Experimental,SimBoth,1,744
5,1,Experimental,SimBoth,1,1008
5,1,Experimental,SimBoth,1,798
5,1,Experimental,SimBoth,1,699
5,1,Experimental,SimBoth,0,954
5,1,Experimental,SimBoth,0,696
5,1,Experimental,SimBoth,1,834
5,1,Experimental,SimBoth,1,1013
5,1,Experimental,SimBoth,1,967
5,1,Experimental,SimBoth,1,1392
5,1,Experimental,SimBoth,1,809
5,1,Experimental,SimBoth,1,1163
5,1,Experimental,SimBoth,1,1095
5,1,Experimental,SimBoth,1,1232
5,1,Experimental,SimBoth,0,851
5,1,Experimental,SimBoth,1,1090
5,1,Experimental,SimBoth,1,791
5,1,Experimental,SimBoth,1,799
5,1,Experimental,SimBoth,0,808
5,1,Experimental,SimBoth,1,979
5,1,Experimental,SimBoth,1,824
5,1,Experimental,SimBoth,1,1792
5,1,Experimental,SimBoth,1,940
5,1,Experimental,SimBoth,1,968
