subject,session,group,dsst,pattern_comp,letter_comp
5,pre,Experimental,89,18,14
6,pre,Control,74,19,11.5
7,pre,Control,71,15,10
8,pre,Experimental,77,10,10.5
9,pre,Experimental,77,14.5,10.5
10,pre,Experimental,66,16,10
11,pre,Experimental,61,19.5,13
12,pre,Experimental,70,12.5,12
13,pre,Control,65,13.5,8
24,pre,Control,61,14,10.5
25,pre,Experimental,76,17.5,10
31,pre,Control,66,15.5,9.5
39,pre,Control,73,15.5,11.5
43,pre,Experimental,66,14.5,8.5
44,pre,Control,71,13.5,9.5
45,pre,Control,88,20,13.5
51,pre,Control,73,16.5,12
52,pre,Control,46,17,12
55,pre,Experimental,52,12.5,8
56,pre,Experimental,72,18,14.5
65,pre,Control,73,14.5,11
66,pre,Experimental,58,14,10.5
74,pre,Experimental,68,13.5,10.5
76,pre,Control,56,13.5,11
77,pre,Experimental,82,18,10.5
78,pre,Control,55,12,8.5
83,pre,Control,56,17.5,11.5
86,pre,Control,69,16.5,9.5
87,pre,Control,63,17,10.5
89,pre,Experimental,86,15.5,12
92,pre,Control,57,15.5,8.5
98,pre,Experimental,58,14.5,10
102,pre,Experimental,72,12,8
104,pre,Control,51,18,9.5
110,pre,Experimental,56,17,10.5
113,pre,Control,82,16,4.5
132,pre,Experimental,72,15.5,10.5
136,pre,Experimental,78,17.5,12.5
140,pre,Control,63,16.5,11.5
146,pre,Experimental,51,14.5,9.5
154,pre,Control,74,17,11.5
158,pre,Experimental,82,14,10
159,pre,Control,76,17.5,10.5
161,pre,Control,66,15,10.5
164,pre,Control,84,18,13.5
166,pre,Control,78,13.5,10
174,pre,Experimental,59,14.5,10.5
176,pre,Experimental,55,16,7.5
178,pre,Experimental,75,15.5,11.5
182,pre,Experimental,52,13,10
185,pre,Control,71,13,9
186,pre,Control,76,14,9
190,pre,Control,72,16,9
191,pre,Experimental,50,14.5,9
195,pre,Experimental,78,14.5,10
197,pre,Control,52,13.5,11.5
199,pre,Experimental,66,15.5,10.5
202,pre,Control,72,12.5,9
204,pre,Control,83,13,11
206,pre,Control,63,11.5,9.5
209,pre,Experimental,64,15.5,10.5
5,post,Experimental,98,17,13.5
6,post,Control,,,
7,post,Control,,,
8,post,Experimental,85,10,10.5
9,post,Experimental,,,
10,post,Experimental,,,
11,post,Experimental,,,
12,post,Experimental,,,
13,post,Control,,,
24,post,Control,,,
25,post,Experimental,,,
31,post,Control,,,
39,post,Control,,,
43,post,Experimental,,,
44,post,Control,,,
45,post,Control,,,
51,post,Control,,,
52,post,Control,,,
55,post,Experimental,,,
56,post,Experimental,,,
65,post,Control,64,13,10
66,post,Experimental,,,
74,post,Experimental,67,13.5,11
76,post,Control,64,14.5,10
77,post,Experimental,96,19,8.5
78,post,Control,49,10,7.5
83,post,Control,59,17,14
86,post,Control,73,16,9
87,post,Control,59,17,10
89,post,Experimental,95,19.5,11.5
92,post,Control,58,17.5,9.5
98,post,Experimental,72,17,10
102,post,Experimental,77,16.5,8.5
104,post,Control,65,17.5,10.5
110,post,Experimental,73,18.5,14
113,post,Control,86,17.5,9.5
132,post,Experimental,58,15,10.5
136,post,Experimental,83,18,15
140,post,Control,69,17,14
146,post,Experimental,66,14,11
154,post,Control,76,17.5,10.5
158,post,Experimental,86,14.5,11.5
159,post,Control,87,14,12
161,post,Control,71,18.5,9
164,post,Control,90,19,11
166,post,Control,87,15,10
174,post,Experimental,74,16,11
176,post,Experimental,59,17.5,9.5
178,post,Experimental,85,18,13.5
182,post,Experimental,56,13.5,11
185,post,Control,,,
186,post,Control,36,15,9
190,post,Control,73,15.5,8.5
191,post,Experimental,76,18,10.5
195,post,Experimental,76,14,10.5
197,post,Control,52,16.5,12.5
199,post,Experimental,85,16.5,9.5
202,post,Control,,,
204,post,Control,93,17.5,11.5
206,post,Control,71,13.5,7.5
209,post,Experimental,75,20.5,10.5
133,pre,Control,67,15,12
172,pre,Control,74,15.5,10.5
